id,title,description,slug,unit_price,last_update,inventory,collection_id
1,Dr,Hidradenitis,Suite 92,96,2024-02-06,1,
2,Mr,Injury due to sea-based artillery shell,PO Box 39925,94,2023-07-08,2,
3,Mrs,Fissure of tongue,Room 1248,72,2023-07-25,3,
4,Mr,Foreign body in esophagus,Room 1699,18,2024-01-19,4,
5,Rev,Closed fracture of other specified part of pelvis,Suite 52,5,2024-03-31,5,
6,Dr,Dementia with lewy bodies,Apt 620,93,2023-10-04,6,
7,Ms,Hemorrhage from throat,18th Floor,3,2023-11-22,7,
8,Rev,"Mild or unspecified pre-eclampsia, antepartum condition or complication",Suite 80,49,2024-02-02,8,
9,Mr,"Unspecified derangement of joint, ankle and foot",Apt 557,92,2023-08-16,9,
10,Mrs,Closed dislocation of ankle,PO Box 98814,84,2023-07-26,10,
11,Mr,"Activities involving mountain climbing, rock climbing and wall climbing",10th Floor,53,2023-09-18,11,
12,Mrs,"Other umbilical cord complications complicating labor and delivery, unspecified as to episode of care or not applicable",Room 1128,68,2024-02-18,12,
13,Mrs,"Pressure ulcer, stage IV",9th Floor,53,2023-10-01,13,
14,Mrs,Phlebitis and thrombophlebitis of intracranial venous sinuses,PO Box 18672,73,2023-09-21,14,
15,Mr,Motor vehicle traffic accident involving collision with train injuring passenger on motorcycle,PO Box 73895,33,2024-01-11,15,
16,Rev,"Backache, unspecified",10th Floor,63,2023-07-08,16,
17,Honorable,"Unspecified lymphoid leukemia, in remission",Apt 1302,50,2023-12-17,17,
18,Rev,Isolated explosive disorder,PO Box 57296,100,2024-04-18,18,
19,Mrs,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",Suite 2,10,2023-06-25,19,
20,Mr,"Open wound of wrist, complicated",Room 1077,49,2024-05-16,20,
21,Dr,Other specified anomalies of ear,18th Floor,60,2023-11-29,21,
22,Mr,Erysipelas,10th Floor,79,2023-12-12,22,
23,Ms,"Other symptoms referable to joint, lower leg",Room 1691,57,2023-07-12,23,
24,Mr,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, trunk, unspecified site",Room 1750,95,2023-07-17,24,
25,Mr,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",Apt 495,48,2024-03-01,25,
26,Ms,"Arthropathy associated with Reiter's disease and nonspecific urethritis, pelvic region and thigh",Apt 572,97,2024-02-29,26,
27,Dr,"Congenital or acquired abnormality of vulva, delivered, with mention of postpartum complication",11th Floor,55,2023-10-26,27,
28,Dr,Unspecified intestinal malabsorption,Apt 469,92,2024-03-29,28,
29,Mr,Other specified disorders of amino-acid metabolism,Apt 870,73,2023-07-08,29,
30,Honorable,Noncollision motor vehicle traffic accident while boarding or alighting injuring passenger on motorcycle,Room 631,84,2024-04-18,30,
31,Honorable,Pneumococcal peritonitis,Apt 787,76,2024-03-02,31,
32,Mrs,"Maternal distress complicating labor and delivery, delivered, with mention of postpartum complication",PO Box 30173,53,2023-07-28,32,
33,Dr,Striking against or struck accidentally by furniture without subsequent fall,Room 365,16,2024-04-05,33,
34,Ms,"Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",PO Box 20509,92,2024-02-10,34,
35,Honorable,Retinal hemorrhage,PO Box 47210,42,2023-08-09,35,
36,Honorable,"Disseminated chorioretinitis, unspecified",Suite 16,76,2024-05-07,36,
37,Mrs,Failure to thrive in newborn,Suite 91,56,2024-01-21,37,
38,Mr,Long-term (current) use of aspirin,Room 1803,42,2023-07-19,38,
39,Mr,"Single liveborn, born in hospital, delivered by cesarean section",Suite 18,78,2023-07-25,39,
40,Mrs,"Persistent migraine aura with cerebral infarction, without mention of intractable migraine without mention of status migrainosus",Apt 178,34,2024-01-02,40,
41,Mr,Fragile X syndrome,PO Box 30886,5,2024-02-16,41,
42,Ms,"Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere",PO Box 34003,11,2024-01-03,42,
43,Ms,"Bipolar I disorder, single manic episode, severe, specified as with psychotic behavior",Suite 69,6,2023-11-30,43,
44,Honorable,"Blisters, epidermal loss [second degree] of multiple sites of upper limb, except wrist and hand",13th Floor,6,2024-04-05,44,
45,Rev,"Open fracture of shaft of radius or ulna, unspecified",Room 345,95,2023-08-30,45,
46,Ms,Railway accident involving collision with other object and injuring unspecified person,Room 792,36,2024-01-19,46,
47,Mrs,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",PO Box 51341,86,2024-02-20,47,
48,Dr,Adjustment disorder with disturbance of conduct,Suite 12,84,2023-12-08,48,
49,Mrs,"Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",Suite 79,21,2024-05-15,49,
50,Honorable,"Benign neoplasm of endocrine gland, site unspecified",3rd Floor,83,2023-07-08,50,
51,Ms,Burning caused by conflagration in private dwelling,Suite 63,39,2023-08-13,51,
52,Rev,Open fracture of seven ribs,PO Box 58768,6,2023-09-29,52,
53,Honorable,"Infection and inflammatory reaction due to nervous system device, implant, and graft",Room 62,10,2024-01-20,53,
54,Mrs,"Other symptoms referable to joint, hand",PO Box 28104,61,2023-06-29,54,
55,Mrs,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",14th Floor,48,2023-07-11,55,
56,Mrs,"Angioneurotic edema, not elsewhere classified",Suite 14,32,2024-02-27,56,
57,Ms,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of chest wall, excluding breast and nipple",15th Floor,11,2023-06-19,57,
58,Honorable,Indeterminate stage glaucoma,PO Box 20281,8,2023-06-08,58,
59,Ms,"Cannabis abuse, unspecified",Room 1469,20,2024-02-14,59,
60,Mr,Polyneuropathy due to drugs,PO Box 35477,23,2023-07-14,60,
61,Mr,Unspecified disease of spinal cord,Apt 1522,33,2023-07-26,61,
62,Ms,"Late effect of injury to nerve root(s), spinal plexus(es), and other nerves of trunk",Suite 16,8,2024-01-23,62,
63,Dr,Screening for obesity,Apt 524,15,2023-09-23,63,
64,Ms,Varus deformity of wrist (acquired),Suite 30,1,2024-04-01,64,
65,Rev,"Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part, of scapular region",Suite 68,81,2024-04-01,65,
66,Honorable,Polyneuropathy in collagen vascular disease,PO Box 51023,96,2023-12-17,66,
67,Rev,Superior glenoid labrum lesion,Suite 30,1,2023-09-04,67,
68,Rev,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, unspecified as to episode of care or not applicable",PO Box 548,82,2024-04-25,68,
69,Rev,"Carcinoma in situ, vagina",Room 1869,65,2023-06-20,69,
70,Rev,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",PO Box 12297,55,2024-03-20,70,
71,Honorable,Kidney donors,Suite 36,98,2024-02-13,71,
72,Ms,Other motor vehicle nontraffic accident of other and unspecified nature injuring other specified person,Room 240,98,2023-07-21,72,
73,Ms,Neoplasm of unspecified nature of other genitourinary organs,PO Box 93493,75,2023-06-18,73,
74,Ms,"Twin birth, unspecified whether mate liveborn or stillborn, born before admission to hospital",Room 971,95,2023-07-09,74,
75,Honorable,Candidiasis of lung,Suite 57,99,2024-05-07,75,
76,Mrs,Contact with and (suspected) exposure to benzene,Room 1337,32,2023-08-18,76,
77,Mrs,Malignant neoplasm of undescended testis,PO Box 56293,21,2024-04-09,77,
78,Mrs,"Blisters, epidermal loss [second degree] of shoulder",Apt 287,88,2023-10-04,78,
79,Mr,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",13th Floor,8,2023-11-13,79,
80,Honorable,"Other benign neoplasm of connective and other soft tissue of trunk, unspecified",Suite 56,95,2023-11-15,80,
81,Ms,"Closed fractures involving skull or face with other bones, with intracranial injury of other and unspecified nature, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Suite 97,23,2023-09-01,81,
82,Dr,Uric acid nephrolithiasis,Apt 1400,70,2023-07-01,82,
83,Mr,"Other cardiovascular diseases of mother, postpartum condition or complication",1st Floor,91,2023-09-26,83,
84,Mrs,Motor vehicle traffic accident involving re-entrant collision with another motor vehicle injuring passenger on motorcycle,1st Floor,41,2023-08-01,84,
85,Rev,Compression of brain,4th Floor,13,2023-09-20,85,
86,Dr,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Apt 1275,18,2023-07-23,86,
87,Ms,Adhesions of drum head to promontorium,Suite 71,98,2023-06-21,87,
88,Rev,"Duodenitis, without mention of hemorrhage",Apt 763,45,2023-11-13,88,
89,Dr,Vertebral artery syndrome,PO Box 3585,89,2023-11-05,89,
90,Ms,Double outlet right ventricle,Room 1416,59,2024-02-20,90,
91,Ms,Iatrogenic thyroiditis,Room 1394,62,2023-10-25,91,
92,Honorable,Other activity involving water and watercraft,PO Box 90386,2,2023-09-18,92,
93,Ms,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",Suite 39,3,2023-08-17,93,
94,Rev,Brucella suis,Suite 42,5,2024-03-20,94,
95,Rev,Personal history of combat and operational stress reaction,Suite 13,73,2024-04-22,95,
96,Mr,"Other symptoms referable to joint, pelvic region and thigh",Apt 1703,62,2024-01-19,96,
97,Mrs,Cholesteatoma of middle ear and mastoid,PO Box 21419,74,2024-03-06,97,
98,Dr,Bone donors,Apt 1655,91,2023-11-12,98,
99,Mr,Herpes simplex disciform keratitis,11th Floor,22,2023-07-05,99,
100,Dr,Activities involving bike riding,Suite 99,12,2023-09-20,100,
