id,description,discount
501,"Nondisp longitud fx l patella, init for opn fx type 3A/B/C",19
502,"Unsp fracture of shaft of humerus, unspecified arm, sequela",85
503,Nondisplaced transverse fracture of right acetabulum,77
504,Cervical disc disorder at C5-C6 level with myelopathy,54
505,Melanoma in situ,76
506,"Subacute osteomyelitis, hand",88
507,Pulp degeneration,46
508,Chronic viral hepatitis,62
509,Esophagostomy hemorrhage,17
510,"Exposure to ignition of oth clothing and apparel, subs",94
511,"Unspecified physeal fracture of right metatarsal, 7thB",38
512,"Driver of hv veh injured in collision w hv veh in traf, init",14
513,"Subluxation of interphalangeal joint of unsp great toe, init",69
514,Legal intervention involving other specified means,62
515,"Chronic gout due to renal impairment, unsp hip, with tophus",56
516,"Nondisp fx of fifth metatarsal bone, l foot, init for opn fx",3
517,"Type 1 diab with mod nonp rtnop with macular edema, l eye",21
518,"Fracture of superior rim of left pubis, init for opn fx",38
519,"Cutaneous follicle center lymphoma, lymph nodes mult site",42
520,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 1",13
521,"Apocrine sweat disorder, unspecified",15
522,"Primary blast injury of transverse colon, initial encounter",71
523,Nontraumatic compartment syndrome of upper extremity,21
524,"Open bite of unspecified finger with damage to nail, sequela",13
525,"Laceration without foreign body, right thigh",93
526,"Poisoning by amphetamines, intentional self-harm, subs",56
527,"Injury of visual cortex, left eye",69
528,Driver of 3-whl mv injured in clsn w oth and unsp mv in traf,42
529,"Oligohydramnios, first trimester, fetus 3",39
530,"Synovial hypertrophy, not elsewhere classified, thigh",92
531,"Unspecified injury of peroneal artery, left leg, subs encntr",93
532,Passenger in 3-whl mv injured in collision w oth mv nontraf,3
533,Syphilis of other musculoskeletal tissue,73
534,Congenital absence and hypoplasia of umbilical artery,59
535,Other congenital malformations of larynx,36
536,Strain of intrinsic musc/fasc/tend thumb at wrs/hnd lv,15
537,Psoriatic arthritis mutilans,58
538,"Legal intervnt w unsp firearm disch, suspect injured, subs",65
539,"War op involving fragments from munitions, civilian, sequela",27
540,"Unspecified fall due to ice and snow, sequela",43
541,Eclampsia,57
542,Salter-Harris Type IV physeal fracture of right calcaneus,23
543,"Solitary bone cyst, unspecified shoulder",47
544,Congenital occlusion of ureter,94
545,"Person outside special industr vehicle injured in traf, subs",89
546,"Burn of first degree of right elbow, subsequent encounter",28
547,"Complete traumatic trnsphal amputation of l idx fngr, subs",74
548,"Major laceration of left kidney, initial encounter",82
549,"Unsp injury of right quadriceps musc/fasc/tend, subs",86
550,"Disp fx of lateral cuneiform of right foot, init for clos fx",59
551,"Oth psychoactv sub use, unsp w persist amnestic disorder",79
552,"Nondisp fx of capitate bone, unsp wrs, 7thK",64
553,Other bilateral secondary osteoarthritis of knee,45
554,"Unspecified open wound of scalp, initial encounter",15
555,"Unsp fracture of fourth lum vertebra, subs for fx w nonunion",28
556,"Toxic effect of rattlesnake venom, assault, subs encntr",42
557,"Other complications of procedures, not elsewhere classified",88
558,"Other sprain of right middle finger, subsequent encounter",5
559,Other and unspecified sprain of wrist,91
560,"Unsp fracture of right forearm, init for opn fx type I/2",10
561,"Fx unsp carpal bone, right wrist, subs for fx w delay heal",84
562,"Sublux of symphysis (pubis) in pregnancy, first trimester",7
563,"Other fracture of unspecified lumbar vertebra, sequela",52
564,"Complete traumatic amp at level betw r hip and knee, sequela",30
565,"Oth fracture of first metacarpal bone, unsp hand, init",38
566,"Displ transverse fx shaft of unsp fibula, 7thK",27
567,"Disp fx of dist phalanx of left less toe(s), init for opn fx",87
568,Personal history of adult neglect,49
569,"Injury of unsp nerve at ankle and foot level, unsp leg",71
570,Orchitis and epididymitis,46
571,"Inj l int crtd, intcr w LOC w death d/t brain inj bf consc",94
572,"Burn of first degree of unspecified foot, subs encntr",21
573,"Path fx in neopltc disease, r foot, subs for fx w malunion",5
574,"Pingueculitis, unspecified eye",99
575,Labyrinthine dysfunction,80
576,Underdosing of thyroid hormones and substitutes,61
577,"Oth osteopor w current path fracture, r shoulder, init",29
578,"Atrophic flaccid tympanic membrane, unspecified ear",78
579,"Burn w resulting rupture and dest of unsp eyeball, init",59
580,"Pedl cyc passenger injured in clsn w ped/anml nontraf, init",2
581,Strain of unspecified muscle and tendon at lower leg level,96
582,"Fracture of ramus of mandible, unspecified side",63
583,Toxic effect of strychnine and its salts,85
584,"Twin liveborn infant, delivered vaginally",29
585,"Drug-induced chronic gout, right ankle and foot",26
586,Pnctr w foreign body of right lesser toe(s) w damage to nail,3
587,"Crushing injury of left elbow, initial encounter",73
588,"Oth foreign object in trachea causing oth injury, init",33
589,"Laceration with foreign body of left wrist, subs encntr",76
590,"Poisn by cardi-stim glycos/drug simlar act, assault, sequela",28
591,"Pigmentary glaucoma, unspecified eye, severe stage",22
592,"Unsp superficial injuries of l bk wl of thorax, sequela",79
593,"Corrosion of third degree of left shoulder, subs encntr",100
594,Anterior spinal and vertebral artery compression syndromes,1
595,"Corrosion of second degree back of right hand, subs encntr",4
596,"Lacerat less saphenous at low leg level, right leg, sequela",57
597,Unspecified injury of femoral vein at hip and thigh level,36
598,"Inj flexor musc/fasc/tend l little fngr at wrs/hnd lv, subs",73
599,Injury of unspecified blood vessel at neck level,100
600,Polycystic ovarian syndrome,23
601,"Laceration with foreign body, right hip, sequela",15
602,Superficial foreign body of unspecified parts of thorax,6
603,"Nondisp midcervical fx l femr, subs for clos fx w delay heal",17
604,Nondisp fx of lower epiphysis (separation) of left femur,22
605,"Legal intervnt w injury by handgun, bystand injured, sequela",11
606,"Mycosis fungoides, nodes of inguinal region and lower limb",45
607,"Idiopathic chronic gout, left knee, with tophus (tophi)",92
608,"Disp fx of epiphy (separation) (upper) of l femr, 7thM",92
609,Embolism and thrombosis of unspecified vein,32
610,"Displaced transverse fracture of right acetabulum, init",21
611,"Displ suprcndl fx w intrcndl extn low end l femr, 7thK",52
612,"Strain of unsp msl/tnd at ankle and foot level, right foot",12
613,"Oth fx upper end of unsp radius, subs for clos fx w nonunion",8
614,"Algoneurodystrophy, right forearm",73
615,"Poisoning by 4-Aminophenol derivatives, self-harm, sequela",50
616,"War op w chemical weapons and oth unconvtl warfare, milt",93
617,"Blister (nonthermal) of unsp back wall of thorax, subs",18
618,Driver of bus injured in collision w oth mv nontraf,66
619,Unspecified fracture of left forearm,100
620,"Nondisp seg fx shaft of l fibula, 7thM",75
621,"Toxic effect of venom of brown recluse spider, slf-hrm, sqla",78
622,"Age-rel osteopor w crnt path fx, unsp hand, 7thD",53
623,"Rheumatoid nodule, right elbow",53
624,"Other slipping, tripping and stumbling and falls",9
625,Oth noninfective disorders of lymphatic vessels and nodes,11
626,"Poisoning by oth fibrin-affct drugs, accidental",52
627,"Lead-induced gout, right elbow",47
628,"Oth fracture of upper end of unsp radius, init for clos fx",88
629,Late pregnancy,66
630,"Type 3 fracture of sacrum, subs for fx w routn heal",41
631,"Sltr-haris Type I physl fx low end ulna, unsp arm, 7thP",29
632,Non-prs chronic ulcer oth prt unsp foot w necrosis of muscle,19
633,Retarded development following protein-calorie malnutrition,46
634,"Unsp pre-existing htn comp pregnancy, unsp trimester",84
635,"Discitis, unspecified, thoracic region",97
636,Prsn brd/alit hv veh injured in collision w ped/anml,25
637,"Mtrcy driver injured in collision w 2/3-whl mv in traf, init",16
638,Blister (nonthermal) of right upper arm,67
639,"Unsp fx low end r ulna, 7thR",77
640,Derangement of lateral meniscus due to old tear or injury,76
641,"Incomplete atypical femoral fracture, unspecified leg, 7thK",7
642,"Oth fx of lower end of unsp radius, init for opn fx type I/2",15
643,"Cellulitis and acute lymphangitis, unspecified",8
644,Benign prostatic hyperplasia,55
645,Congenital absence of unspecified hand and finger,48
646,"Unsp fracture of right femur, subs for clos fx w nonunion",15
647,"Other synovitis and tenosynovitis, shoulder",10
648,Other fracture of left patella,3
649,"Oth physl fx lower end of r femur, subs for fx w routn heal",47
650,"Abrasion, unspecified foot, sequela",12
651,"Unsp fx shaft of left femur, init for opn fx type 3A/B/C",93
652,"Acute mastoiditis without complications, bilateral",30
653,"Acute embolism and thombos unsp deep veins of low extrm, bi",97
654,Placenta previa,38
655,"Open bite, right elbow, subsequent encounter",87
656,"Superficial frostbite of right hand, initial encounter",97
657,"Other chronic hematogenous osteomyelitis, hand",52
658,"Explosion and rupture of other gas cylinder, subs encntr",46
659,Chronic systolic (congestive) heart failure,34
660,"Secondary osteoarthritis, ankle and foot",75
661,"Inj/poisn/oth conseq of external causes comp preg, first tri",97
662,"Poisoning by oth agents aff the cardiovasc sys, undet, subs",1
663,"Type 4 fracture of sacrum, subs for fx w nonunion",95
664,Spotted fever due to Rickettsia australis,100
665,"Sltr-haris Type IV physl fx low end r tibia, 7thP",48
666,"Other specified crystal arthropathies, wrist",98
667,"Oth disp fx of fifth cervcal vert, subs for fx w delay heal",94
668,Subluxation of unsp parts of unspecified shoulder girdle,50
669,Unspecified dislocation of unspecified radial head,18
670,Postproc seroma of a dgstv sys org fol a dgstv sys procedure,53
671,Chronic laryngotracheitis,37
672,Mtrcy passenger injured in clsn w oth and unsp mv nontraf,3
673,Lesch-Nyhan syndrome,72
674,"Displ commnt fx shaft of l femr, init for opn fx type 3A/B/C",76
675,"Toxic effect of insecticides, intentional self-harm, subs",90
676,"Salter-Harris Type IV physeal fracture of r calcaneus, 7thK",67
677,"Disp fx of glenoid cav of scapula, unsp shldr, 7thB",64
678,"Person injured in unsp nonmotor-vehicle accident, nontraffic",16
679,"Other dislocation of unsp ulnohumeral joint, init encntr",48
680,Superficial foreign body of eyelid and periocular area,91
681,"Unsp injury of unsp musc/fasc/tend at forarm lv, right arm",5
682,Pain in left finger(s),23
683,Hyperacusis,76
684,Chronic respiratory failure,94
685,"Other fracture of first metacarpal bone, left hand",56
686,Corros 80-89% of body surface w 40-49% third degree corros,90
687,"Path fx in neopltc dis, l humerus, subs for fx w nonunion",44
688,"Poisoning by unsp drugs acting on muscles, self-harm, subs",72
689,Other retained radioactive fragments,53
690,"Other bursitis, not elsewhere classified, ankle and foot",91
691,"Burn of first degree of unspecified wrist, sequela",45
692,"Displ commnt fx shaft of ulna, l arm, 7thH",49
693,Fall due to clsn betw oth power wtrcrft and oth wtrcrft/obj,41
694,"Lateral subluxation of right patella, initial encounter",62
695,"Contus/lac right cerebrum w LOC of 1-5 hrs 59 min, init",86
696,Presence of artificial right arm (complete) (partial),75
697,"Displ artic fx head of l femr, 7thJ",75
698,"Stenosis of other vascular prosth dev/grft, init",79
699,Sprain of unspecified parts of unspecified shoulder girdle,62
700,"Injury of digital nerve of left index finger, init encntr",75
701,"Testicular dysfunction, unspecified",86
702,"Nondisp fx of nk of r rad, 7thQ",21
703,"Displacement of internal prosth dev/grft, init",87
704,"Puncture wound w foreign body of right upper arm, subs",78
705,"Adverse effect of unsp fibrinolysis-affecting drugs, subs",72
706,"Dislocation of unsp interphaln joint of r idx fngr, subs",34
707,"Oth fx first MC bone, unsp hand, subs for fx w malunion",51
708,Unsp injury of radial artery at wrs/hnd lv of unsp arm,56
709,"Nondisp fx of coracoid process, unspecified shoulder",28
710,"Corrosions of unspecified ear drum, initial encounter",100
711,"Other specified dorsopathies, cervical region",74
712,"Left upper quadrant abdominal swelling, mass and lump",26
713,Secondary Merkel cell carcinoma,68
714,Laceration w/o foreign body of oth finger w/o damage to nail,17
715,"Unsp fracture of lower end of right tibia, init for clos fx",81
716,"Driver of pk-up/van inj in clsn w nonmtr veh nontraf, init",93
717,Posterior dislocation of left radial head,83
718,Hydrops fetalis due to unspecified hemolytic disease,68
719,"Pnctr w/o fb of right lesser toe(s) w damage to nail, subs",31
720,"Unspecified sprain of left little finger, initial encounter",90
721,"Pnctr w fb of l little finger w/o damage to nail, init",14
722,"Circadian rhythm sleep disorder, delayed sleep phase type",12
723,"Toxic effect of venom of venomous lizard, acc, sequela",35
724,"Pnctr of abd wall w fb, l upr q w/o penet perit cav, subs",44
725,"Oth fx shaft of unsp tibia, 7thM",23
726,"Toxic effect of oth gases, fumes and vapors, undetermined",56
727,"Strain of muscle, fascia and tendon of left hip",95
728,Fall into other water striking water surface,38
729,Laceration w/o fb of l little finger w/o damage to nail,48
730,"Adverse effect of glucocort/synth analog, init",68
731,"Laceration of ovary, bilateral",13
732,"Drown after fall into swimming pool, undetermined intent",76
733,NIHSS score 39,85
734,"Antepartum hemorrhage, unspecified, first trimester",37
735,"Thrombosis due to nervous system prosth dev/grft, sequela",70
736,"Exdtve age-rel mclr degn, right eye, with inact chrdl neovas",59
737,"Fx unsp part of l clavicle, subs for fx w routn heal",47
738,"Kaschin-Beck disease, unspecified hand",47
739,"Subluxation of unsp interphaln joint of l mid finger, subs",11
740,"Injury of unsp nerve at ank/ft level, right leg, sequela",66
741,"Disp fx of lateral cuneiform of unsp ft, 7thK",38
742,"Hallucinogen abuse, uncomplicated",29
743,"Unsp injury at C2 level of cervical spinal cord, subs encntr",92
744,Prsn brd/alit a 3-whl mv injured in collision w ped/anml,69
745,"Ben neoplm of connctv/soft tiss of left lower limb, inc hip",37
746,"Occup of military vehicle injured nontraf, init",67
747,Abuse of steroids or hormones,29
748,Dilated cardiomyopathy,57
749,Postproc hemorrhage of the spleen following other procedure,72
750,Dysarthria and anarthria,77
751,"Corrosion of 3rd deg mu sites of left ank/ft, sequela",25
752,Other congenital malformations of vagina,54
753,Influenza due to unidentified influenza virus,72
754,"Quadruplet liveborn infant, delivered vaginally",98
755,"Pnctr w/o foreign body of finger w/o damage to nail, subs",1
756,"Toxic effect of cadmium and its compounds, assault, subs",50
757,"Unsp fracture of left lower leg, subs for clos fx w malunion",81
758,"Dislocation of l acromioclav jt, > 200% displacmnt, subs",83
759,"Sprain of unspecified ligament of left ankle, sequela",53
760,"Pnctr w fb of r frnt wl of thorax w/o penet thor cav, sqla",33
761,Hypernasality,91
762,"War operations involving gasoline bomb, milt, subs",38
763,"Intentional self-harm by unsp firearm discharge, subs encntr",66
764,"Major laceration of heart with hemopericardium, subs encntr",81
765,"Epileptic spasms, not intractable, with status epilepticus",96
766,Retiform parapsoriasis,91
767,"Complete traum amp at lev betw elbow and wrs, unsp arm, subs",63
768,Encounter for adjustment and management of cochlear device,35
769,"Unsp physl fx upper end unsp femur, subs for fx w nonunion",95
770,Superficial foreign body of breast,79
771,"Corrosion of second degree back of right hand, subs encntr",49
772,"Poisoning by smallpox vaccines, assault",38
773,"Oth nondisp fx of third cervical vertebra, init for opn fx",79
774,"Nondisp fx of lunate, unsp wrist, subs for fx w delay heal",25
775,"Ankylosis, unspecified foot",58
776,"Other scleritis, right eye",7
777,"War operations involving explosion of torpedo, milt, sequela",33
778,"Partial traumatic amputation of unsp breast, init encntr",58
779,"Oth fx lower end of l tibia, subs for clos fx w delay heal",99
780,Laceration of blood vessel of left thumb,72
781,"Rupture of synovium, unspecified shoulder",71
782,"Anaphylactic reaction due to other serum, initial encounter",81
783,Unspecified diabetes mellitus in pregnancy,12
784,Unsp cond assoc w female genital organs and menstrual cycle,63
785,"Ulnohumeral (joint) sprain of right elbow, initial encounter",93
786,Dvrtclos of lg int w/o perforation or abscess w bleeding,29
787,"Blister (nonthermal) of oth part of neck, subs encntr",90
788,"Poisn by predom alpha-adrenocpt agonists, self-harm, subs",86
789,"Rheumatoid arthritis w/o rheumatoid factor, unsp shoulder",95
790,"Other osteonecrosis, unspecified shoulder",58
791,"Displ Rolando's fracture, r hand, subs for fx w routn heal",18
792,"Other degenerative disorders of globe, left eye",59
793,"Toxic effect of venom of African and Asian snake, self-harm",87
794,Corporo-venous occlusive erectile dysfunction,86
795,Vitiligo of left lower eyelid and periocular area,28
796,"Other physeal fracture of phalanx of unspecified toe, 7thG",36
797,"Infective myositis, unspecified toe(s)",59
798,"Displ oblique fx shaft of l fibula, init for opn fx type I/2",79
799,"Toxic effect of unsp snake venom, accidental, sequela",8
800,"Open angle with borderline findings, low risk",4
801,Paroxysmal tachycardia,39
802,Breakdown (mechanical) of int fix of bone of right forearm,81
803,"Lateral dislocation of unsp ulnohumeral joint, subs encntr",52
804,Fracture of mandible,44
805,"Complete lesion of L3 level of lumbar spinal cord, sequela",43
806,"Unsp injury of right innominate or subclav art, sequela",68
807,Contusion of small intestine,9
808,"Drug-induced gout, left wrist",71
809,"Oth inflammatory spondylopathies, thoracolumbar region",90
810,Myotonic chondrodystrophy,100
811,"External constriction of left hand, sequela",49
812,"Salpingitis and oophoritis, unspecified",59
813,"Occup of bus injured in clsn w rail trn/veh nontraf, sequela",70
814,Galeazzi's fracture,65
815,"Age-rel osteopor w crnt path fx, unsp site, 7thK",70
816,"Toxic effect of venom of venomous lizard, undetermined, init",32
817,"Small cell B-cell lymphoma, nodes of head, face, and neck",32
818,"Blister (nonthermal), unspecified great toe, subs encntr",20
819,Driver of 3-whl mv injured in clsn w oth and unsp mv nontraf,58
820,"Complete traum amp of left hip and thigh, level unsp, init",55
821,"Laceration of muscle, fascia and tendon of unsp hip, sequela",9
822,Dry beriberi,38
823,"Glaucoma secondary to other eye disorders, bilateral",21
824,"Cont preg aft spon abort of one fts or more, unsp tri, fts5",85
825,"Driver of bus injured in collision w ped/anml in traf, subs",42
826,"Superficial fb of unsp external genital organs, male, init",17
827,"Unsp injury of vein at forearm level, left arm, init encntr",49
828,"Disseminated malignant neoplasm, unspecified",98
829,"Twin pregnancy, monochorionic/diamniotic, third trimester",39
830,"Bucket-handle tear of lat mensc, current injury, left knee",57
831,"Lead-induced gout, unspecified elbow",37
832,Bunionette,98
833,"Displ commnt fx shaft of humer, l arm, 7thD",9
834,"Pauciarticular juvenile rheumatoid arthritis, unsp shoulder",76
835,"Poisoning by mixed bact vaccines w/o a pertuss, acc, init",33
836,"Corrosion of third degree of upper back, subs encntr",20
837,"Galeazzi's fx unsp rad, 7thE",62
838,"Respiratory failure, not elsewhere classified",50
839,Conn tiss and disc stenos of intvrt foramin of thor region,60
840,"Sltr-haris Type I physl fx upper end radius, left arm, sqla",9
841,"Wedge compression fracture of first thor vertebra, sequela",43
842,"Disp fx of prox phalanx of unsp fngr, 7thD",8
843,"Oth fx of low end r rad, 7thR",93
844,"Minor laceration of body of pancreas, subsequent encounter",47
845,"Underdosing of electrolytic/caloric/wtr-bal agnt, sequela",83
846,"Adverse effect of other psychotropic drugs, sequela",85
847,"Toxic effect of contact w oth venom animals, acc, sequela",27
848,"Path fx in oth disease, l hand, subs for fx w routn heal",44
849,"Strain of muscle, fascia and tendon of lower back",86
850,Unspecified genitourinary tract infection in pregnancy,19
851,"Maternal care for chromosomal abnormality in fetus, fetus 5",47
852,"Toxic effect of unsp spider venom, self-harm, subs",57
853,"Other low birth weight newborn, unspecified weight",87
854,"Unspecified injury of tail of pancreas, subsequent encounter",23
855,"Crushing injury of right shoulder and upper arm, sequela",63
856,Postproc seroma of unsp and adnexa fol an opth procedure,14
857,"Insect bite (nonvenomous), right knee, sequela",95
858,"Displ seg fx shaft of rad, unsp arm, 7thH",60
859,"Exposure to excessive natural heat, sequela",7
860,"Oth fracture of right great toe, subs for fx w routn heal",49
861,Bent bone of radius,90
862,"Frostbite w tissue necrosis of oth part of head, subs encntr",81
863,"Other superficial bite of ankle, left ankle, sequela",20
864,"Crushing injury of scrotum and testis, subsequent encounter",57
865,"Asphyx due to being trapped in bed linens, accidental, subs",85
866,Left ventricular failure,49
867,Other specified injury of superior vena cava,59
868,"Prsn brd/alit a car injured in clsn w statnry object, init",8
869,STEMI & NSTEMI mocard infrc,33
870,"Laceration without foreign body, right hip, init encntr",62
871,Mittelschmerz,21
872,"Coma scale, best motor response, extension, admit",47
873,"Activity, ironing",95
874,"Toxic effect of unsp halogen deriv of aromat hydrocrb, asslt",47
875,Unspecified fracture of base of skull,19
876,"Other shellfish poisoning, assault",96
877,"Stiffness of left hand, not elsewhere classified",19
878,"Displ oblique fx shaft of r ulna, 7thJ",65
879,"Displ osteochon fx r patella, 7thN",11
880,Late syphilitic oculopathy,42
881,Laceration with foreign body of left ear,33
882,"Pathological fracture, r humerus, subs for fx w delay heal",61
883,Intentional self-harm by crashing of motor vehicle,21
884,Other specified injuries of foot,68
885,"Drug-induced chronic gout, vertebrae, with tophus (tophi)",34
886,Unsp systemic anti-infective and antiparasitics,79
887,"Bent bone of left radius, init for opn fx type 3A/B/C",84
888,"Other contact with horse, subsequent encounter",5
889,Rapidly progr nephritic syndrome w dense deposit disease,23
890,"Oth osteopor w current path fracture, unsp hand, sequela",98
891,Unspecified physeal fracture of upper end of radius,56
892,"Poisoning by aminoglycosides, intentional self-harm, init",12
893,"Nondisp fx of head of r rad, 7thR",74
894,"Burn of first degree of unspecified palm, sequela",69
895,"Corrosion of third degree of shldr/up lmb, except wrs/hnd",16
896,Oth comp of fb acc left in body following remov cath/pack,1
897,Unsp open wound of abdominal wall w/o penet perit cav,51
898,"Poisoning by histamine H2-receptor blockers, undet, subs",1
899,"Major contusion of left kidney, sequela",33
900,Obst due to fb acc left in body following oth procedure,10
901,"Laceration without foreign body of left breast, subs encntr",98
902,Unspecified perpetrator of maltreatment and neglect,64
903,"Lacerat musc/tend post grp at low leg level, left leg, init",93
904,Unspecified genitourinary tract infection in pregnancy,94
905,Damage to pelvic organs fol failed attempt term of pregnancy,1
906,"Underdosing of unsp agents aff the cardiovasc sys, sequela",48
907,"And unsp drugs, medicaments and biological substances",26
908,Other congenital malformations of pulmonary artery,84
909,"Toxic effect of venom of hornets, assault",31
910,"War operations involving biological weapons, milt, init",97
911,Unspecified fracture of shaft of unspecified fibula,15
912,"Inj unsp musc/tend at lower leg level, right leg",63
913,Unspecified retinal vascular occlusion,43
914,"Poisn by oth drug aff the autonm nervous sys, acc, sequela",94
915,10 weeks gestation of pregnancy,61
916,Dislocation of distal interphalangeal joint of right thumb,62
917,Newborn affected by other comp of labor and delivery,49
918,"Nondisp fx of olecran pro w intartic extn unsp ulna, 7thJ",87
919,Personal history of malig neoplasm of eye and nervous tissue,13
920,"Burn of second degree of unspecified lower leg, subs encntr",48
921,"Laceration of fallopian tube, unilateral, subs encntr",35
922,"Cont preg aft uterin dth of one fts or more, unsp tri, fts2",62
923,"Legal intervnt w manhandling, law enforc offl injured, init",50
924,"Interstitial myositis, right thigh",44
925,"Unspecified noninfective disorders of pinna, bilateral",65
926,Nondisp fx of distal phalanx of right lesser toe(s),7
927,"Other synovitis and tenosynovitis, unsp ankle and foot",100
928,Arteriovenous malformation of cerebral vessels,98
929,"Contusion of right breast, initial encounter",72
930,Unsp injury of intrinsic musc/fasc/tend l thm at wrs/hnd lv,7
931,"Laceration with foreign body of right breast, sequela",28
932,"Benign neoplasm of female genital organ, unspecified",69
933,Monoplg low lmb fol ntrm intcrbl hemor aff left dom side,52
934,Encounter for Rh incompatibility status,9
935,"Unspecified disorder of patella, unspecified knee",4
936,Corrosion of first degree of unspecified elbow,48
937,"Displ Maisonneuve's fx r leg, init for opn fx type 3A/B/C",54
938,Unspecified injury of colon,60
939,Acute cerebrovascular insufficiency,4
940,"Unspecified injury of right eye and orbit, sequela",49
941,Underdosing of unsp antiepileptic and sed-hypntc drugs,23
942,"Corros first degree of unsp mult fngr, inc thumb, subs",1
943,"Unsp bus occupant injured in clsn w unsp mv nontraf, sequela",31
944,Chloasma of eyelid and periocular area,52
945,"Ant disp fx of sternal end unsp clavicle, 7thP",58
946,"Poisoning by heroin, assault, sequela",78
947,"Injury of radial nerve at upper arm level, left arm",82
948,"Person on outside of sp off-rd mv injured nontraf, sequela",14
949,"Sltr-haris Type I physl fx upper end radius, unsp arm, init",91
950,"Chronic osteomyelitis with draining sinus, unspecified femur",86
951,"Parachutist injured on landing, sequela",75
952,"Displaced segmental fracture of shaft of unsp tibia, sequela",60
953,"Poisoning by antitussives, undetermined, subs encntr",63
954,"Unsp foreign body in bronchus causing asphyxiation, sequela",54
955,Postural kyphosis,66
956,"Legal intervnt involving unsp explosives, suspect injured",84
957,"Poisn by oth drug aff the autonm nervous sys, undet, sequela",99
958,"Osteitis condensans, left thigh",39
959,"Rupture of synovium, unspecified elbow",87
960,"Argyll Robertson pupil, atypical",76
961,Disorder of ligament,80
962,Other specified effects of external causes,93
963,"Oth injury of right vertebral artery, init encntr",39
964,"Nondisp spiral fx shaft of rad, l arm, 7thG",15
965,Postproc seroma of a resp sys org following other procedure,95
966,Agenesis and underdevelopment of nose,12
967,Delayed delivery after artificial rupture of membranes,97
968,"Displaced segmental fracture of shaft of unsp femur, sequela",69
969,Idiopathic acute pancreatitis without necrosis or infection,41
970,"Phlyctenular keratoconjunctivitis, bilateral",33
971,Asphyxiation due to being trapped in a car trunk,32
972,"Sltr-haris Type I physeal fx unspecified calcaneus, 7thD",86
973,"Stress fracture, left ulna",56
974,"Insect bite (nonvenomous), left lower leg, initial encounter",50
975,Unspecified injury at C4 level of cervical spinal cord,28
976,Long term (current) use of anticoagulants,86
977,"Congenital dislocation of unspecified hip, unilateral",10
978,Derangement of unsp meniscus due to old tear or injury,34
979,Posterior dislocation of unspecified sternoclavicular joint,93
980,Oth complication of nervous system prosth dev/grft,35
981,"Nondisp fx of distal phalanx of unsp lesser toe(s), init",99
982,"Mech compl of nervous sys device, implant or graft, init",46
983,"Poisoning by unsp agents aff the cardiovasc sys, undet, init",68
984,"Other specified dorsopathies, cervicothoracic region",72
985,"Cholesteatoma of mastoid, bilateral",46
986,"Nondisp fx of distal pole of navicular bone of r wrist, init",47
987,Cutaneous abscess of unspecified hand,20
988,"Elephantiasis of unspecified eye, unspecified eyelid",9
989,"Bucket-hndl tear of medial meniscus, current injury, r knee",69
990,"Displ seg fx shaft of unsp femr, subs for clos fx w nonunion",99
991,"Myositis ossificans progressiva, hand and finger(s)",59
992,"Toxic effect of unsp metal, accidental (unintentional), subs",60
993,Diseases of the nervous system complicating the puerperium,7
994,Analeptics and opioid receptor antagonists,78
995,Major laceration of tail of pancreas,19
996,"Unsp injury of blood vessel of left little finger, subs",70
997,"War operations involving unsp weapon of mass dest, init",84
998,"Pedl cyc driver injured in collision w hv veh in traf, init",32
999,"Disp fx of unsp tibial tuberosity, 7thM",40
1000,"Poisoning by antiallergic and antiemetic drugs, assault",11
